"id","amikacin","capreomycin","ciprofloxacin","ethambutol","ethionamide","isoniazid","kanamycin","moxifloxacin","ofloxacin","pyrazinamide","rifampicin","streptomycin"
"ERR2512435",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512436",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512437",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512438",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512439",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045699",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512440",NA,NA,NA,"0",NA,"1",NA,NA,NA,"1","1",NA
"SRR6045870",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512441",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045232",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512442",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512443",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045291",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045704",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512444",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512445",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512446",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512447",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046861",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512448",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512449",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512450",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512451",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512452",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512453",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512454",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512455",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512456",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","1",NA
"ERR2512457",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512458",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512616",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512460",NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0",NA
"ERR2512461",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045015",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512462",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046212",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512463",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512464",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512465",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046461",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA
"ERR2512466",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512467",NA,NA,NA,"0",NA,"1",NA,NA,NA,"1","1",NA
"SRR6044840",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046260",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512468",NA,NA,NA,"0",NA,NA,NA,NA,NA,"0","0",NA
"ERR2512469",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512470",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512471",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512472",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512473",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512474",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512475",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512476",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045743",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046574",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA
"SRR6046000",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512477",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512478",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"ERR2512479",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2513636",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6044949",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512481",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR3675211",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512482",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512483",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045281",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512484",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512485",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512486",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512487",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512404",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512489",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512490",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512491",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512492",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512493",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045899",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512494",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512495",NA,NA,NA,"0",NA,"0",NA,NA,NA,"1","0",NA
"SRR6046384",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR3675215",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512496",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512497",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512498",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512499",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045279",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512500",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"ERR2512501",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512502",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512503",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512504",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512505",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512506",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512507",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512508",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512509",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512510",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512511",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512512",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512513",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512514",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046860",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512515",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512517",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512518",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046733",NA,NA,NA,"0",NA,"1",NA,NA,NA,NA,"1",NA
"SRR6046586",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512519",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512520",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR3675217",NA,NA,NA,"1",NA,"1",NA,NA,NA,"0","1",NA
"ERR2512521",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512522",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512523",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512524",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512525",NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0",NA
"ERR2512526",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512527",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512528",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512529",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512634",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512531",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512532",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512534",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512535",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR3675218",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1","0",NA
"ERR2512536",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045314",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"SRR6046819",NA,NA,NA,"0",NA,"1",NA,NA,NA,NA,"1",NA
"ERR2512537",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512538",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512539",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6044856",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","1",NA
"ERR2512389",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045085",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1",NA
"ERR2512541",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"ERR2512542",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512543",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045992",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512544",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"ERR2512545",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512546",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512398",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045433",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512548",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512549",NA,NA,NA,"0",NA,"0",NA,NA,NA,"1","0",NA
"ERR2512550",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046456",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"SRR6045783",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512551",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512552",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512553",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512554",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512555",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046075",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512556",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512557",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512558",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512559",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2513411",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512561",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512562",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512563",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512564",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512565",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512566",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6044956",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512567",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512568",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512569",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046812",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512570",NA,NA,NA,"0",NA,"0",NA,NA,NA,"1","0",NA
"ERR2512571",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512572",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512573",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR3675224",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512574",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512575",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512576",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046668",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512577",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512578",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512579",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512580",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045967",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512581",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512582",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"SRR6045034",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512583",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512584",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512585",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"ERR2512586",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512587",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046585",NA,NA,NA,"0",NA,"1",NA,NA,NA,NA,"0",NA
"ERR2512588",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512590",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045502",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512591",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1","1",NA
"ERR2512592",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512593",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512594",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512595",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"ERR2512596",NA,NA,NA,"0",NA,"1",NA,NA,NA,NA,"1",NA
"ERR2513907",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512598",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045574",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512599",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512600",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"ERR2512601",NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0",NA
"ERR2512602",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512603",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512604",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512605",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512606",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"ERR2512607",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512608",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512609",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512610",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512611",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512612",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045288",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512613",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512614",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512615",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2513464",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046297",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512617",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512618",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512619",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2513624",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512621",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6044817",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512622",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045841",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"SRR6045966",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512624",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512625",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046418",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512626",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,NA
"ERR2512627",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512628",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045462",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512629",NA,NA,NA,NA,NA,"0",NA,NA,NA,"0","0",NA
"ERR2512630",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512631",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512632",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512633",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512560",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512635",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512636",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512637",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512638",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512639",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046376",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6044909",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","1",NA
"SRR6045825",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046291",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512640",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046243",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","1",NA
"ERR2512642",NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0",NA
"ERR2512643",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512644",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512645",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512646",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512647",NA,NA,NA,"0",NA,"0",NA,NA,NA,"1","0",NA
"ERR2512648",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512649",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046269",NA,NA,NA,"0",NA,"1",NA,NA,NA,NA,"0",NA
"ERR2512650",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512651",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512652",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512653",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512654",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512655",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512656",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512657",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512658",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512659",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512660",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512661",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512662",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2513783",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"ERR2512664",NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0",NA
"ERR2512665",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512666",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512667",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512668",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512669",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512670",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045175",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512671",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6045714",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512672",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2513305",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512674",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046902",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512675",NA,NA,NA,"0",NA,"0",NA,NA,NA,"1","0",NA
"ERR2512676",NA,NA,NA,"0",NA,"0",NA,NA,NA,"1","0",NA
"ERR2512677",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512678",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512679",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
